feature_gene	class_gene	start	end	strand	symbol	locus_tag	feature_interval_length	attributes_gene	feature_product	class_product	product_accession_product	non-redundant_refseq_product	name_product	product_length_product	attributes_product	old_locus_tag
gene	protein_coding	3125676	3126284	-		PP_RS14275	609	old_locus_tag	CDS	with_protein	WP_049586328.1	WP_049586328.1	GNAT family N-acetyltransferase	202.0		PP_2743
gene	protein_coding	3126465	3127424	-	prs	PP_RS14280	960	old_locus_tag	CDS	with_protein	WP_010953656.1	WP_010953656.1	ribose-phosphate diphosphokinase	319.0		PP_2744
gene	protein_coding	3127520	3128509	-		PP_RS14285	990	old_locus_tag	CDS	with_protein	WP_049586231.1	WP_049586231.1	universal stress protein	329.0		PP_2745
gene	protein_coding	3128754	3130163	+		PP_RS14290	1410	old_locus_tag	CDS	with_protein	WP_010953658.1	WP_010953658.1	LLM class flavin-dependent oxidoreductase	469.0		PP_2746
gene	protein_coding	3130184	3131155	+		PP_RS14295	972	old_locus_tag	CDS	with_protein	WP_010953659.1	WP_010953659.1	AMP-binding protein	323.0		PP_2747
gene	protein_coding	3131152	3131922	+		PP_RS14300	771	old_locus_tag	CDS	with_protein	WP_110771718.1	WP_110771718.1	ABC transporter ATP-binding protein	256.0		PP_2748
gene	protein_coding	3131919	3132800	+		PP_RS14305	882	old_locus_tag	CDS	with_protein	WP_010953661.1	WP_010953661.1	branched-chain amino acid ABC transporter permease	293.0		PP_2749
gene	protein_coding	3132805	3133869	+		PP_RS14310	1065	old_locus_tag	CDS	with_protein	WP_010953662.1	WP_010953662.1	branched-chain amino acid ABC transporter permease	354.0		PP_2750
gene	protein_coding	3133948	3135288	+		PP_RS14315	1341	old_locus_tag	CDS	with_protein	WP_010953663.1	WP_010953663.1	ABC transporter substrate-binding protein	446.0		PP_2751
gene	protein_coding	3135348	3136682	+		PP_RS14320	1335	old_locus_tag	CDS	with_protein	WP_010953664.1	WP_010953664.1	ABC transporter substrate-binding protein	444.0		PP_2752
gene	protein_coding	3136799	3137572	+		PP_RS14325	774	old_locus_tag	CDS	with_protein	WP_010953665.1	WP_010953665.1	ABC transporter ATP-binding protein	257.0		PP_2753
gene	protein_coding	3137862	3139211	+		PP_RS14330	1350	old_locus_tag	CDS	with_protein	WP_049586229.1	WP_049586229.1	OprD family porin	449.0		PP_2754
gene	protein_coding	3139459	3140691	+		PP_RS14335	1233	old_locus_tag	CDS	with_protein	WP_049586227.1	WP_049586227.1	SfnB family sulfur acquisition oxidoreductase	410.0		PP_2755
gene	protein_coding	3140701	3141087	+		PP_RS14340	387	old_locus_tag	CDS	with_protein	WP_010953668.1	WP_010953668.1	hypothetical protein	128.0		PP_2756
gene	protein_coding	3141084	3142055	+		PP_RS14345	972	old_locus_tag	CDS	with_protein	WP_010953669.1	WP_010953669.1	sugar ABC transporter substrate-binding protein	323.0		PP_2757
gene	protein_coding	3142052	3143080	+		PP_RS14350	1029	old_locus_tag	CDS	with_protein	WP_010953670.1	WP_010953670.1	sugar ABC transporter substrate-binding protein	342.0		PP_2758
gene	protein_coding	3143077	3144615	+		PP_RS14355	1539	old_locus_tag	CDS	with_protein	WP_010953671.1	WP_010953671.1	sugar ABC transporter ATP-binding protein	512.0		PP_2759
gene	protein_coding	3144599	3145576	+		PP_RS14360	978	old_locus_tag	CDS	with_protein	WP_049586224.1	WP_049586224.1	ABC transporter permease	325.0		PP_2760
gene	protein_coding	3145578	3146564	+		PP_RS14365	987	old_locus_tag	CDS	with_protein	WP_010953673.1	WP_010953673.1	ABC transporter permease	328.0		PP_2761
gene	protein_coding	3146630	3147868	-		PP_RS14370	1239	old_locus_tag	CDS	with_protein	WP_010953674.1	WP_010953674.1	acyl-CoA dehydrogenase family protein	412.0		PP_2762
gene	protein_coding	3148207	3148767	+	msuE	PP_RS14375	561	old_locus_tag	CDS	with_protein	WP_004576525.1	WP_004576525.1	FMN reductase	186.0		PP_2764
gene	protein_coding	3148794	3149885	+	sfnG	PP_RS14380	1092	old_locus_tag	CDS	with_protein	WP_010953676.1	WP_010953676.1	dimethyl sulfone monooxygenase SfnG	363.0		PP_2765
gene	protein_coding	3149897	3151027	+		PP_RS14385	1131	old_locus_tag	CDS	with_protein	WP_010953677.1	WP_010953677.1	AMP-binding protein	376.0		PP_2766
gene	protein_coding	3151037	3151870	+		PP_RS14390	834	old_locus_tag	CDS	with_protein	WP_010953678.1	WP_010953678.1	ABC transporter ATP-binding protein	277.0		PP_2767
gene	protein_coding	3151846	3152727	+		PP_RS14395	882	old_locus_tag	CDS	with_protein	WP_010953679.1	WP_010953679.1	branched-chain amino acid ABC transporter permease	293.0		PP_2768
gene	protein_coding	3152740	3153729	+		PP_RS14400	990	old_locus_tag	CDS	with_protein	WP_010953680.1	WP_010953680.1	branched-chain amino acid ABC transporter permease	329.0		PP_2769
gene	protein_coding	3153797	3155122	+		PP_RS14405	1326	old_locus_tag	CDS	with_protein	WP_010953681.1	WP_010953681.1	ABC transporter substrate-binding protein	441.0		PP_2770
gene	protein_coding	3155159	3156262	-		PP_RS14410	1104	old_locus_tag	CDS	with_protein	WP_010953682.1	WP_010953682.1	sigma-54 dependent transcriptional regulator	367.0		PP_2771
gene	protein_coding	3156271	3157458	-		PP_RS14415	1188	old_locus_tag	CDS	with_protein	WP_010953683.1	WP_010953683.1	acyl-CoA dehydrogenase family protein	395.0		PP_2772
gene	protein_coding	3157514	3157672	-		PP_RS14420	159	old_locus_tag	CDS	with_protein	WP_010953684.1	WP_010953684.1	hypothetical protein	52.0		PP_2773
gene	protein_coding	3158039	3160078	+		PP_RS14425	2040	old_locus_tag	CDS	with_protein	WP_232014157.1	WP_232014157.1	ATP-binding cassette domain-containing protein	679.0		PP_2774
gene	protein_coding	3160087	3161133	+		PP_RS14430	1047	old_locus_tag	CDS	with_protein	WP_049586219.1	WP_049586219.1	glycine betaine ABC transporter substrate-binding protein	348.0		PP_2775
gene	protein_coding	3161130	3162053	+		PP_RS14435	924	old_locus_tag	CDS	with_protein	WP_010953687.1	WP_010953687.1	homocysteine S-methyltransferase family protein	307.0		PP_2776
gene	protein_coding	3162633	3163202	+		PP_RS14440	570	old_locus_tag	CDS	with_protein	WP_010953688.1	WP_010953688.1	acyl carrier protein	189.0		PP_2777
gene	protein_coding	3163214	3164488	+		PP_RS14445	1275	old_locus_tag	CDS	with_protein	WP_049586217.1	WP_049586217.1	beta-ketoacyl-[acyl-carrier-protein] synthase family protein	424.0		PP_2778
gene	protein_coding	3164658	3165572	+		PP_RS14450	915	old_locus_tag	CDS	with_protein	WP_049586325.1	WP_049586325.1	beta-ketoacyl synthase	304.0		PP_2779
gene	protein_coding	3165569	3166867	+		PP_RS14455	1299	old_locus_tag	CDS	with_protein	WP_010953691.1	WP_010953691.1	beta-ketoacyl-[acyl-carrier-protein] synthase family protein	432.0		PP_2780
gene	protein_coding	3166864	3168075	+		PP_RS14460	1212	old_locus_tag	CDS	with_protein	WP_049586211.1	WP_049586211.1	beta-ketoacyl synthase N-terminal-like domain-containing protein	403.0		PP_2781
gene	protein_coding	3168115	3170985	+		PP_RS14465	2871	old_locus_tag	CDS	with_protein	WP_049586210.1	WP_049586210.1	aminotransferase class III-fold pyridoxal phosphate-dependent enzyme	956.0		PP_2782
gene	protein_coding	3170995	3171732	+		PP_RS14470	738	old_locus_tag	CDS	with_protein	WP_010953694.1	WP_010953694.1	3-oxoacyl-ACP reductase family protein	245.0		PP_2783
gene	protein_coding	3171729	3172493	+		PP_RS14475	765	old_locus_tag	CDS	with_protein	WP_010953695.1	WP_010953695.1	SDR family NAD(P)-dependent oxidoreductase	254.0		PP_2784
gene	protein_coding	3172496	3173779	+		PP_RS14480	1284	old_locus_tag	CDS	with_protein	WP_010953696.1	WP_010953696.1	DUF1302 family protein	427.0		PP_2785
gene	protein_coding	3173830	3174666	+		PP_RS14485	837	old_locus_tag	CDS	with_protein	WP_003253956.1	WP_003253956.1	outer membrane lipoprotein-sorting protein	278.0		PP_2786
gene	protein_coding	3174700	3177309	+		PP_RS14490	2610	old_locus_tag	CDS	with_protein	WP_010953697.1	WP_010953697.1	MMPL family transporter	869.0		PP_2787
gene	protein_coding	3177379	3177762	-		PP_RS14495	384	old_locus_tag	CDS	with_protein	WP_003253954.1	WP_003253954.1	MerR family transcriptional regulator	127.0		PP_2788
gene	protein_coding	3177926	3178504	-		PP_RS14500	579	old_locus_tag	CDS	with_protein	WP_003253953.1	WP_003253953.1	NAD(P)H-dependent oxidoreductase	192.0		PP_2789
gene	protein_coding	3178721	3180673	-	prpR	PP_RS14505	1953	old_locus_tag	CDS	with_protein	WP_010953699.1	WP_010953699.1	propionate catabolism operon regulatory protein PrpR	650.0		PP_2790
gene	protein_coding	3180876	3181934	+		PP_RS14510	1059	old_locus_tag	CDS	with_protein	WP_049586209.1	WP_049586209.1	phosphotransferase family protein	352.0		PP_2791
gene	protein_coding	3181931	3182287	+	lvaB	PP_RS14515	357	old_locus_tag	CDS	with_protein	WP_010953701.1	WP_010953701.1	4-hydroxypentanoyl-CoA kinase subunit LvaB	118.0		PP_2792
gene	protein_coding	3182341	3183513	+		PP_RS14520	1173	old_locus_tag	CDS	with_protein	WP_010953702.1	WP_010953702.1	acyl-CoA dehydrogenase	390.0		PP_2793
gene	protein_coding	3183513	3184280	+		PP_RS14525	768	old_locus_tag	CDS	with_protein	WP_010953703.1	WP_010953703.1	glucose 1-dehydrogenase	255.0		PP_2794
gene	protein_coding	3184364	3186010	+		PP_RS14530	1647	old_locus_tag	CDS	with_protein	WP_010953704.1	WP_010953704.1	acyl-CoA synthetase	548.0		PP_2795
gene	protein_coding	3186065	3186388	+		PP_RS14535	324	old_locus_tag	CDS	with_protein	WP_010953705.1	WP_010953705.1	DUF485 domain-containing protein	107.0		PP_2796
gene	protein_coding	3186385	3188043	+		PP_RS14540	1659	old_locus_tag	CDS	with_protein	WP_010953706.1	WP_010953706.1	cation acetate symporter	552.0		PP_2797
gene	protein_coding	3188305	3189213	-		PP_RS14545	909	old_locus_tag	CDS	with_protein	WP_010953707.1	WP_010953707.1	NAD(P)-binding domain-containing protein	302.0		PP_2798
gene	protein_coding	3189270	3190649	-		PP_RS14550	1380	old_locus_tag	CDS	with_protein	WP_010953708.1	WP_010953708.1	aspartate aminotransferase family protein	459.0		PP_2799
gene	protein_coding	3190745	3191998	-		PP_RS14555	1254	old_locus_tag	CDS	with_protein	WP_010953709.1	WP_010953709.1	aspartate aminotransferase family protein	417.0		PP_2800
gene	protein_coding	3192036	3193460	-		PP_RS14560	1425	old_locus_tag	CDS	with_protein	WP_010953710.1	WP_010953710.1	gamma-aminobutyraldehyde dehydrogenase	474.0		PP_2801
gene	protein_coding	3193538	3194869	-		PP_RS14565	1332	old_locus_tag	CDS	with_protein	WP_010953711.1	WP_010953711.1	APC family permease	443.0		PP_2802
gene	protein_coding	3194882	3196039	-		PP_RS14570	1158	old_locus_tag	CDS	with_protein	WP_049586199.1	WP_049586199.1	iron-containing alcohol dehydrogenase	385.0		PP_2803
gene	protein_coding	3196258	3197133	-		PP_RS14575	876	old_locus_tag	CDS	with_protein	WP_010953713.1	WP_010953713.1	alpha/beta hydrolase	291.0		PP_2804
gene	protein_coding	3197130	3198656	-		PP_RS14580	1527	old_locus_tag	CDS	with_protein	WP_010953714.1	WP_010953714.1	NAD(P)/FAD-dependent oxidoreductase	508.0		PP_2805
gene	protein_coding	3198933	3199514	-		PP_RS14585	582	old_locus_tag	CDS	with_protein	WP_010953715.1	WP_010953715.1	TetR/AcrR family transcriptional regulator	193.0		PP_2806
gene	protein_coding	3199765	3200652	+		PP_RS14590	888	old_locus_tag	CDS	with_protein	WP_010953716.1	WP_010953716.1	phytanoyl-CoA dioxygenase family protein	295.0		PP_2807
gene	protein_coding	3200673	3202040	+		PP_RS14595	1368	old_locus_tag	CDS	with_protein	WP_010953717.1	WP_010953717.1	FAD-binding oxidoreductase	455.0		PP_2808
gene	protein_coding	3202130	3202777	+		PP_RS14600	648	old_locus_tag	CDS	with_protein	WP_079732584.1	WP_079732584.1	hypothetical protein	215.0		PP_2809
gene	protein_coding	3203250	3204671	+		PP_RS14605	1422	old_locus_tag	CDS	with_protein	WP_010953719.1	WP_010953719.1	DUF1329 domain-containing protein	473.0		PP_2810
gene	protein_coding	3204697	3206343	+		PP_RS14610	1647	old_locus_tag	CDS	with_protein	WP_010953720.1	WP_010953720.1	DUF1302 domain-containing protein	548.0		PP_2811
gene	protein_coding	3206352	3208766	+		PP_RS14615	2415	old_locus_tag	CDS	with_protein	WP_010953721.1	WP_010953721.1	efflux RND transporter permease subunit	804.0		PP_2812
gene	protein_coding	3208777	3209739	+		PP_RS14620	963	old_locus_tag	CDS	with_protein	WP_010953722.1	WP_010953722.1	YCF48-related protein	320.0		PP_2813
gene	protein_coding	3209856	3210725	-		PP_RS14625	870	old_locus_tag	CDS	with_protein	WP_010953723.1	WP_010953723.1	phytanoyl-CoA dioxygenase family protein	289.0		PP_2814
gene	protein_coding	3210964	3212217	+		PP_RS14630	1254	old_locus_tag	CDS	with_protein	WP_010953724.1	WP_010953724.1	helix-turn-helix domain-containing protein	417.0		PP_2815
gene	protein_coding	3212276	3212842	-		PP_RS14635	567	old_locus_tag	CDS	with_protein	WP_010953725.1	WP_010953725.1	TetR/AcrR family transcriptional regulator	188.0		PP_2816
gene	protein_coding	3212937	3214070	+		PP_RS14640	1134	old_locus_tag	CDS	with_protein	WP_049586198.1	WP_049586198.1	MexC family multidrug efflux RND transporter periplasmic adaptor subunit	377.0		PP_2817
gene	protein_coding	3214086	3217214	+		PP_RS14645	3129	old_locus_tag	CDS	with_protein	WP_010953727.1	WP_010953727.1	efflux RND transporter permease subunit	1042.0		PP_2818
gene	protein_coding	3217214	3218617	+		PP_RS14650	1404	old_locus_tag	CDS	with_protein	WP_049586196.1	WP_049586196.1	efflux transporter outer membrane subunit	467.0		PP_2819
gene	protein_coding	3218700	3219257	-		PP_RS14655	558	old_locus_tag	CDS	with_protein	WP_010953729.1	WP_010953729.1	TetR/AcrR family transcriptional regulator	185.0		PP_2820
gene	protein_coding	3219435	3219839	-		PP_RS14660	405	old_locus_tag	CDS	with_protein	WP_010953730.1	WP_010953730.1	hypothetical protein	134.0		PP_2821
gene	protein_coding	3219851	3221011	-		PP_RS14665	1161	old_locus_tag	CDS	with_protein	WP_061405631.1	WP_061405631.1	hypothetical protein	386.0		PP_5539
gene	protein_coding	3221041	3222660	-		PP_RS14670	1620	old_locus_tag	CDS	with_protein	WP_020191871.1	WP_020191871.1	methyl-accepting chemotaxis protein	539.0		PP_2823
gene	protein_coding	3223253	3223933	-		PP_RS14675	681	old_locus_tag	CDS	with_protein	WP_010953733.1	WP_010953733.1	TetR/AcrR family transcriptional regulator	226.0		PP_2824
gene	pseudogene	3224033	3224485	-		PP_RS14680	453	partial;pseudo;old_locus_tag	CDS	without_protein			integrase		partial;pseudo	PP_2825
gene	protein_coding	3224504	3225418	-		PP_RS14685	915	old_locus_tag	CDS	with_protein	WP_010953735.1	WP_010953735.1	LysR family transcriptional regulator	304.0		PP_2826
gene	protein_coding	3225625	3226647	+		PP_RS14690	1023	old_locus_tag	CDS	with_protein	WP_010953736.1	WP_010953736.1	zinc-dependent alcohol dehydrogenase family protein	340.0		PP_2827
gene	protein_coding	3227162	3228547	+		PP_RS14695	1386	old_locus_tag	CDS	with_protein	WP_010953737.1	WP_010953737.1	hypothetical protein	461.0		PP_2828
gene	protein_coding	3228547	3229902	+		PP_RS14700	1356	old_locus_tag	CDS	with_protein	WP_049586188.1	WP_049586188.1	GntR family transcriptional regulator	451.0		PP_2829
gene	protein_coding	3230030	3231331	-		PP_RS14705	1302	old_locus_tag	CDS	with_protein	WP_049586186.1	WP_049586186.1	MFS transporter	433.0		PP_2830
gene	protein_coding	3231398	3232711	-		PP_RS14710	1314	old_locus_tag	CDS	with_protein	WP_049586184.1	WP_049586184.1	L-fuconate dehydratase	437.0		PP_2831
gene	protein_coding	3232813	3233760	+		PP_RS14715	948	old_locus_tag	CDS	with_protein	WP_010953741.1	WP_010953741.1	LysR family transcriptional regulator	315.0		PP_2832
gene	protein_coding	3233788	3234759	+		PP_RS14720	972	old_locus_tag	CDS	with_protein	WP_010953742.1	WP_010953742.1	LysR family transcriptional regulator	323.0		PP_2833
gene	protein_coding	3234906	3236447	+		PP_RS14725	1542	old_locus_tag	CDS	with_protein	WP_010953743.1	WP_010953743.1	altronate dehydratase family protein	513.0		PP_2834
gene	protein_coding	3236483	3237541	+		PP_RS14730	1059	old_locus_tag	CDS	with_protein	WP_049586182.1	WP_049586182.1	Ldh family oxidoreductase	352.0		PP_2835
gene	protein_coding	3237562	3238779	+		PP_RS14735	1218	old_locus_tag	CDS	with_protein	WP_010953745.1	WP_010953745.1	fumarylacetoacetate hydrolase family protein	405.0		PP_2836
gene	protein_coding	3238879	3240180	+		PP_RS14740	1302	old_locus_tag	CDS	with_protein	WP_049586180.1	WP_049586180.1	MFS transporter	433.0		PP_2837
gene	protein_coding	3240305	3241954	+		PP_RS14745	1650	old_locus_tag	CDS	with_protein	WP_010953747.1	WP_010953747.1	VRR-NUC domain-containing protein	549.0		PP_2838
gene	protein_coding	3241951	3244212	+		PP_RS14750	2262	old_locus_tag	CDS	with_protein	WP_049586177.1	WP_049586177.1	ATP-dependent DNA helicase	753.0		PP_2839
gene	protein_coding	3244313	3245494	-		PP_RS14755	1182	old_locus_tag	CDS	with_protein	WP_010953749.1	WP_010953749.1	NnrS family protein	393.0		PP_2840
gene	protein_coding	3245710	3246624	+		PP_RS14760	915	old_locus_tag	CDS	with_protein	WP_003253931.1	WP_003253931.1	tyrosine-type recombinase/integrase	304.0		PP_2841
gene	protein_coding	3246902	3247735	+		PP_RS14765	834	old_locus_tag	CDS	with_protein	WP_010953751.1	WP_010953751.1	urease accessory protein UreD	277.0		PP_2842
gene	protein_coding	3247745	3248047	+		PP_RS14770	303	old_locus_tag	CDS	with_protein	WP_003253929.1	WP_003253929.1	urease subunit gamma	100.0		PP_2843
gene	protein_coding	3248067	3248384	+		PP_RS14775	318	old_locus_tag	CDS	with_protein	WP_010953752.1	WP_010953752.1	urease subunit beta	105.0		PP_2844
gene	protein_coding	3248381	3250084	+	ureC	PP_RS14780	1704	old_locus_tag	CDS	with_protein	WP_010953753.1	WP_010953753.1	urease subunit alpha	567.0		PP_2845
gene	protein_coding	3250094	3250597	+	ureE	PP_RS14785	504	old_locus_tag	CDS	with_protein	WP_003253926.1	WP_003253926.1	urease accessory protein UreE	167.0		PP_2846
gene	protein_coding	3250616	3251161	+		PP_RS14790	546	old_locus_tag	CDS	with_protein	WP_003253925.1	WP_003253925.1	HupE/UreJ family protein	181.0		PP_2847
gene	protein_coding	3251161	3251835	+		PP_RS14795	675	old_locus_tag	CDS	with_protein	WP_010953754.1	WP_010953754.1	urease accessory protein UreF	224.0		PP_2848
gene	protein_coding	3251847	3252470	+	ureG	PP_RS14800	624	old_locus_tag	CDS	with_protein	WP_010953755.1	WP_010953755.1	urease accessory protein UreG	207.0		PP_2849
gene	protein_coding	3252713	3253441	-		PP_RS14805	729	old_locus_tag	CDS	with_protein	WP_010953757.1	WP_010953757.1	thioredoxin family protein	242.0		PP_2851
gene	protein_coding	3253536	3255737	-		PP_RS14810	2202	old_locus_tag	CDS	with_protein	WP_010953758.1	WP_010953758.1	LTA synthase family protein	733.0		PP_2852
gene	protein_coding	3255873	3257153	-		PP_RS14815	1281	old_locus_tag	CDS	with_protein	WP_010953759.1	WP_010953759.1	hypothetical protein	426.0		PP_2853
gene	protein_coding	3257200	3257952	-		PP_RS14820	753	old_locus_tag	CDS	with_protein	WP_010953760.1	WP_010953760.1	hypothetical protein	250.0		PP_2854
gene	protein_coding	3257998	3258678	-		PP_RS14825	681	old_locus_tag	CDS	with_protein	WP_010953761.1	WP_010953761.1	C39 family peptidase	226.0		PP_2855
gene	protein_coding	3258740	3260191	-		PP_RS14830	1452	old_locus_tag	CDS	with_protein	WP_010953762.1	WP_010953762.1	hypothetical protein	483.0		PP_2856
gene	protein_coding	3260241	3260819	-		PP_RS14835	579	old_locus_tag	CDS	with_protein	WP_010953763.1	WP_010953763.1	hypothetical protein	192.0		PP_2857
gene	protein_coding	3260821	3261258	-		PP_RS14840	438	old_locus_tag	CDS	with_protein	WP_010953764.1	WP_010953764.1	hypothetical protein	145.0		PP_2858
gene	protein_coding	3261556	3262125	-		PP_RS14845	570	old_locus_tag	CDS	with_protein	WP_010953765.1	WP_010953765.1	AAA family ATPase	189.0		PP_2859
gene	protein_coding	3262122	3262688	-	pnuC	PP_RS14850	567	old_locus_tag	CDS	with_protein	WP_010953766.1	WP_010953766.1	nicotinamide riboside transporter PnuC	188.0		PP_2860
gene	protein_coding	3262912	3264546	-	mcpP	PP_RS14855	1635	old_locus_tag	CDS	with_protein	WP_010953767.1	WP_010953767.1	methyl-accepting chemotaxis protein McpP	544.0		PP_2861
gene	protein_coding	3264847	3265677	+		PP_RS14860	831	old_locus_tag	CDS	with_protein	WP_049586319.1	WP_049586319.1	undecaprenyl-diphosphate phosphatase	276.0		PP_2862
gene	protein_coding	3265670	3266083	+		PP_RS14865	414	old_locus_tag	CDS	with_protein	WP_049586170.1	WP_049586170.1	DUF1294 domain-containing protein	137.0		PP_2863
gene	protein_coding	3266142	3266501	-		PP_RS14870	360	old_locus_tag	CDS	with_protein	WP_047605158.1	WP_047605158.1	MmcQ/YjbR family DNA-binding protein	119.0		PP_2864
gene	protein_coding	3266494	3267396	-		PP_RS14875	903	old_locus_tag	CDS	with_protein	WP_003253907.1	WP_003253907.1	LysR substrate-binding domain-containing protein	300.0		PP_2865
gene	protein_coding	3267530	3268141	+		PP_RS14880	612	old_locus_tag	CDS	with_protein	WP_010953771.1	WP_010953771.1	FMN-dependent NADH-azoreductase	203.0		PP_2866
gene	protein_coding	3268210	3269412	-		PP_RS14885	1203	old_locus_tag	CDS	with_protein	WP_010953772.1	WP_010953772.1	NAD(P)/FAD-dependent oxidoreductase	400.0		PP_2867
gene	protein_coding	3269493	3270092	-		PP_RS14890	600	old_locus_tag	CDS	with_protein	WP_010953773.1	WP_010953773.1	cupin domain-containing protein	199.0		PP_2868
gene	protein_coding	3270132	3272084	-		PP_RS14895	1953	old_locus_tag	CDS	with_protein	WP_010953774.1	WP_010953774.1	FAD-dependent oxidoreductase	650.0		PP_2869
gene	protein_coding	3272259	3273302	+		PP_RS14900	1044	old_locus_tag	CDS	with_protein	WP_049586164.1	WP_049586164.1	ABC transporter substrate-binding protein	347.0		PP_2870
gene	protein_coding	3273325	3274080	+		PP_RS14905	756	old_locus_tag	CDS	with_protein	WP_010953776.1	WP_010953776.1	class II aldolase/adducin family protein	251.0		PP_2871
gene	protein_coding	3274243	3275127	+		PP_RS14910	885	old_locus_tag	CDS	with_protein	WP_003253899.1	WP_003253899.1	EamA family transporter	294.0		PP_2872
gene	protein_coding	3275198	3275518	+		PP_RS14915	321	old_locus_tag	CDS	with_protein	WP_010953778.1	WP_010953778.1	YbjQ family protein	106.0		PP_2873
gene	protein_coding	3275657	3275845	+		PP_RS14920	189	old_locus_tag	CDS	with_protein	WP_003253897.1	WP_003253897.1	hypothetical protein	62.0		PP_5540
gene	protein_coding	3275987	3276298	+		PP_RS14925	312	old_locus_tag	CDS	with_protein	WP_010953779.1	WP_010953779.1	hypothetical protein	103.0		PP_2874
gene	protein_coding	3276345	3276677	-		PP_RS14930	333	old_locus_tag	CDS	with_protein	WP_003253895.1	WP_003253895.1	hypothetical protein	110.0		PP_2875
gene	protein_coding	3276978	3278120	-	ampC	PP_RS14935	1143	old_locus_tag	CDS	with_protein	WP_010953781.1	WP_010953781.1	class C beta-lactamase	380.0		PP_2876
gene	protein_coding	3278227	3279228	+		PP_RS14940	1002	old_locus_tag	CDS	with_protein	WP_010953782.1	WP_010953782.1	bile acid:sodium symporter family protein	333.0		PP_2877
gene	protein_coding	3279486	3280079	-		PP_RS14945	594	old_locus_tag	CDS	with_protein	WP_010953784.1	WP_010953784.1	DUF4157 domain-containing protein	197.0		PP_2879
gene	protein_coding	3280066	3280629	-		PP_RS14950	564	old_locus_tag	CDS	with_protein	WP_010953785.1	WP_010953785.1	TetR/AcrR family transcriptional regulator	187.0		PP_2880
gene	protein_coding	3280719	3281450	+		PP_RS14955	732	old_locus_tag	CDS	with_protein	WP_010953786.1	WP_010953786.1	SDR family oxidoreductase	243.0		PP_2881
gene	protein_coding	3281479	3282093	+		PP_RS14960	615	old_locus_tag	CDS	with_protein	WP_010953787.1	WP_010953787.1	2-hydroxychromene-2-carboxylate isomerase	204.0		PP_2882
gene	protein_coding	3282066	3282365	-		PP_RS14965	300	old_locus_tag	CDS	with_protein	WP_010953788.1	WP_010953788.1	hypothetical protein	99.0		PP_2883
gene	protein_coding	3282368	3282913	-		PP_RS14970	546	old_locus_tag	CDS	with_protein	WP_003248033.1	WP_003248033.1	cupin domain-containing protein	181.0		PP_2884
gene	protein_coding	3282995	3284200	-		PP_RS14975	1206	old_locus_tag	CDS	with_protein	WP_049586161.1	WP_049586161.1	MFS transporter	401.0		PP_2885
gene	protein_coding	3284282	3284815	-		PP_RS14980	534	old_locus_tag	CDS	with_protein	WP_010953790.1	WP_010953790.1	cytochrome b	177.0		PP_2886
gene	protein_coding	3284812	3285864	-		PP_RS14985	1053	old_locus_tag	CDS	with_protein	WP_010953791.1	WP_010953791.1	catalase family peroxidase	350.0		PP_2887
gene	protein_coding	3285989	3286510	+		PP_RS14990	522	old_locus_tag	CDS	with_protein	WP_004577197.1	WP_004577197.1	sigma-70 family RNA polymerase sigma factor	173.0		PP_2888
gene	protein_coding	3286507	3287259	+		PP_RS14995	753	old_locus_tag	CDS	with_protein	WP_010953792.1	WP_010953792.1	anti-sigma factor	250.0		PP_2889
gene	protein_coding	3287300	3288112	-	xthA	PP_RS15000	813	old_locus_tag	CDS	with_protein	WP_010953793.1	WP_010953793.1	exodeoxyribonuclease III	270.0		PP_2890
gene	protein_coding	3288275	3288925	+		PP_RS15005	651	old_locus_tag	CDS	with_protein	WP_004576713.1	WP_004576713.1	GNAT family N-acetyltransferase	216.0		PP_2891
gene	protein_coding	3288978	3290720	+		PP_RS15010	1743	old_locus_tag	CDS	with_protein	WP_049586316.1	WP_049586316.1	autotransporter assembly complex family protein	580.0		PP_2892
gene	protein_coding	3290717	3294391	+		PP_RS15015	3675	old_locus_tag	CDS	with_protein	WP_010953796.1	WP_010953796.1	translocation/assembly module TamB domain-containing protein	1224.0		PP_2893
gene	protein_coding	3294411	3294965	-		PP_RS15020	555	old_locus_tag	CDS	with_protein	WP_010953797.1	WP_010953797.1	DUF2589 domain-containing protein	184.0		PP_2894
gene	protein_coding	3295041	3295685	-		PP_RS15025	645	old_locus_tag	CDS	with_protein	WP_010953798.1	WP_010953798.1	DUF2589 domain-containing protein	214.0		PP_2895
gene	protein_coding	3295751	3296131	-		PP_RS15030	381	old_locus_tag	CDS	with_protein	WP_010953799.1	WP_010953799.1	Mor transcription activator family protein	126.0		PP_2896
gene	protein_coding	3296383	3296841	-		PP_RS15035	459	old_locus_tag	CDS	with_protein	WP_049586159.1	WP_049586159.1	hypothetical protein	152.0		PP_2898
gene	protein_coding	3296993	3297181	+		PP_RS15040	189	old_locus_tag	CDS	with_protein	WP_003248064.1	WP_003248064.1	hypothetical protein	62.0		PP_2899
gene	protein_coding	3297218	3297592	-		PP_RS15045	375	old_locus_tag	CDS	with_protein	WP_010953802.1	WP_010953802.1	hypothetical protein	124.0		PP_2900
gene	protein_coding	3297790	3300102	+		PP_RS15050	2313	old_locus_tag	CDS	with_protein	WP_049586158.1	WP_049586158.1	acylase	770.0		PP_2901
